treeID,stemID,tag,StemTag,sp,quadrat,gx,gy,MeasureID,CensusID,dbh,pom,hom,ExactDate,DFstatus,codes,countPOM,date,status,agb
491006,1,9001,,virose,0,1.9,4,1,272,156,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
491007,1,9002,,peraar,0,0.7,5.6,2,272,319,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
491008,1,9003,,amaico,0,1.3,6.1,3,272,125,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
491009,1,9004,,peraar,0,1.2,6.4,4,272,186,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
491010,1,9005,,henrfa,0,1.8,10.7,5,272,150,1.3,1.3,20/11/12,alive,P,1,19317,A,
491011,1,9006,,pochse,0,2.8,10.8,6,272,188,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
491012,1,9007,,vantde,0,2.8,11.5,7,272,127,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
491013,1,9008,,vochfe,0,0.8,19.4,8,272,NA,0,0,20/11/12,dead,"D,C",1,19317,D,
491014,1,9009,,hirtam,0,7.4,14.7,9,272,189,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
491015,1,9010,,mataap,0,6.2,5.9,10,272,148,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
491016,1,9011,,virose,0,9.6,8.8,11,272,238,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
491017,1,9012,,peraar,0,7,1.3,12,272,325,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
491018,1,9013,1,oenoma,0,6.9,1.8,13,272,124,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
491018,2,9013,2,oenoma,0,6.9,1.8,14,272,121,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
491018,3,9013,3,oenoma,0,6.9,1.8,15,272,117,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
491018,4,9013,4,oenoma,0,6.9,1.8,416,272,104,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
491018,5,9013,5,oenoma,0,6.9,1.8,417,272,93,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
491019,1,9014,,vochfe,0,9.1,4.3,16,272,NA,0,0,20/11/12,dead,"D,S",1,19317,D,
491020,1,9015,,vochfe,0,13.4,5.3,17,272,NA,0,0,20/11/12,dead,"D,S",1,19317,D,
491021,1,9016,,vantde,0,13.5,14.8,18,272,169,1.3,1.3,20/11/12,alive,<NA>,1,19317,A,
